NumAgents,SimulationTime,MaxWaitTime,Lambda,AverageCallTime,TotalCalls,AbandonedCalls,Utilization
3,1440,5,1.5,5,4917,3907,100.19
4,1440,5,1.5,7,4821,3923,101.3
7,1440,10,1.5,9,5074,3929,100.49
9,1440,5,2,3,9224,3966,99.21
5,1440,15,1.5,9,4899,3990,100.17
4,1440,10,1.5,7,4858,4004,100.59
3,1440,15,1.5,5,4972,4012,100.23
5,1440,10,1.5,7,5174,4042,100.72
4,1440,15,1.5,7,4961,4081,100.64
3,1440,5,1.5,7,4840,4136,100.35
8,1440,15,2,3,8956,4140,100.16
5,1440,10,1.5,9,4999,4145,100.28
2,1440,15,1.5,5,4888,4158,100.24
2,1440,10,1.5,5,4833,4162,99.97
3,1440,10,1.5,5,5177,4165,100.25
1,1440,10,1.5,3,4739,4167,100
9,1440,15,2,3,9510,4209,100.24
4,1440,10,1.5,9,4941,4244,100.09
3,1440,10,1.5,9,4881,4306,100.49
1,1440,5,1.5,3,4881,4323,100
3,1440,10,1.5,7,5035,4334,100.35
3,1440,15,1.5,7,5010,4341,100.56
4,1440,15,1.5,9,5061,4349,101.08
5,1440,5,1.5,9,5264,4355,100.24
2,1440,10,1.5,7,4873,4360,100.49
2,1440,5,1.5,7,4810,4361,100.1
4,1440,5,1.5,9,5044,4388,100.5
2,1440,5,1.5,5,5091,4462,100.24
3,1440,5,1.5,9,4935,4464,100.69
8,1440,5,2,3,8971,4466,99.65
9,1440,10,2,3,9663,4472,99.88
1,1440,5,1.5,9,4783,4594,100.9
1,1440,15,1.5,3,5193,4599,100.69
3,1440,15,1.5,9,5200,4636,101.71
2,1440,15,1.5,9,5033,4658,102.33
1,1440,15,1.5,5,5049,4678,99.93
2,1440,15,1.5,7,5206,4689,100.14
1,1440,5,1.5,5,5037,4697,99.86
1,1440,15,1.5,9,4895,4700,99.93
1,1440,5,1.5,7,4962,4726,101.67
2,1440,10,1.5,9,5158,4746,100.14
1,1440,15,1.5,7,5037,4784,100.28
1,1440,10,1.5,7,5046,4796,100.42
2,1440,5,1.5,9,5218,4850,100.73
1,1440,10,1.5,5,5227,4898,100.21
1,1440,10,1.5,9,5093,4906,100.14
7,1440,10,2,3,8991,4984,100.04
8,1440,10,2,3,9965,5354,100.21
7,1440,15,2,3,9505,5396,100.09
7,1440,5,2,3,9380,5445,99.87
6,1440,10,2,3,8963,5511,100.07
6,1440,15,2,3,9068,5576,100.09
10,1440,15,2,5,9203,5924,100.41
6,1440,5,2,3,9397,5987,100.19
10,1440,5,2,5,9224,6020,99.91
10,1440,10,2,5,9230,6023,100.11
5,1440,10,2,3,8971,6038,100.06
5,1440,5,2,3,9078,6088,100.08
8,1440,10,2,5,8752,6146,100.21
8,1440,15,2,5,8845,6258,100.11
9,1440,5,2,5,9224,6348,100.06
9,1440,15,2,5,9411,6437,100.29
9,1440,10,2,5,9284,6453,99.99
5,1440,15,2,3,9294,6462,100.25
7,1440,15,2,5,9109,6667,100.1
9,1440,10,2,7,8836,6722,100.56
9,1440,15,2,7,8853,6780,100.42
7,1440,5,2,5,9056,6785,100.45
5,1440,15,2,5,8480,6804,100.19
10,1440,10,2,7,9084,6817,100.46
8,1440,5,2,5,9513,6883,100.23
8,1440,15,2,7,8805,6888,100.67
6,1440,5,2,5,8878,6895,100.19
4,1440,5,2,3,9197,6917,100.14
10,1440,5,2,7,9207,7014,100.2
7,1440,10,2,5,9331,7022,100.44
9,1440,15,2,9,8742,7099,100.61
4,1440,10,2,3,9424,7115,100.14
7,1440,15,2,7,8767,7152,100.51
3,1440,10,2,3,9087,7239,100.39
4,1440,15,2,3,9715,7260,99.98
10,1440,15,2,7,9583,7264,100.49
4,1440,10,2,5,8651,7272,100.28
8,1440,5,2,9,8600,7287,100.39
6,1440,10,2,5,9319,7297,100.35
6,1440,15,2,5,9399,7327,100.35
9,1440,5,2,7,9418,7339,100.46
10,1440,15,2,9,9170,7342,100.33
9,1440,5,2,9,8983,7421,100.56
3,1440,15,2,3,9303,7421,100.07
10,1440,10,2,9,9204,7443,100.34
8,1440,5,2,7,9370,7476,100.43
7,1440,5,2,7,9120,7526,100.18
8,1440,10,2,9,8968,7544,100.6
5,1440,5,2,5,9192,7570,100.56
9,1440,10,2,9,9106,7573,100.43
3,1440,5,2,3,9365,7652,100.25
6,1440,15,2,7,9069,7675,100.27
6,1440,5,2,7,9138,7751,100.56
7,1440,15,2,9,9024,7755,100.31
3,1440,15,2,5,8852,7758,100.16
5,1440,10,2,7,8993,7764,100.33
6,1440,10,2,9,8841,7770,100.41
8,1440,15,2,9,9297,7809,100.13
8,1440,10,2,7,9619,7830,100.44
10,1440,5,2,9,9532,7851,100.49
2,1440,15,2,3,9060,7862,100.28
3,1440,5,2,5,8817,7871,100.37
7,1440,10,2,7,9523,7880,100.5
7,1440,10,2,9,9111,7884,101.26
6,1440,10,2,7,9281,7884,101.08
2,1440,10,2,5,8612,7889,100.73
6,1440,5,2,9,8964,7889,100.51
7,1440,5,2,9,9132,7895,100.64
2,1440,10,2,3,9145,7914,100.14
5,1440,10,2,5,9657,7977,100.06
4,1440,5,2,5,9341,8009,100.14
4,1440,15,2,5,9378,8018,100.28
4,1440,10,2,7,9086,8134,100.63
6,1440,15,2,9,9323,8170,100.41
3,1440,10,2,5,9193,8174,100.3
4,1440,15,2,9,8926,8181,100.52
5,1440,15,2,7,9346,8207,100.53
5,1440,15,2,9,9176,8252,100.49
3,1440,15,2,7,8983,8299,100.16
4,1440,5,2,7,9211,8302,100.94
2,1440,5,2,3,9501,8312,100.03
5,1440,5,2,7,9502,8334,100.57
1,1440,15,2,3,9035,8338,100.35
3,1440,15,2,9,8932,8342,100.25
4,1440,10,2,9,9171,8401,100.78
3,1440,5,2,9,8996,8463,100.9
1,1440,10,2,3,9135,8512,100.14
1,1440,5,2,3,9144,8539,100
3,1440,5,2,7,9167,8558,100.74
1,1440,15,2,5,8986,8561,100.14
4,1440,15,2,7,9521,8586,100.28
5,1440,5,2,9,9539,8595,100.25
3,1440,10,2,7,9372,8639,100.19
1,1440,15,2,7,8942,8654,100.21
1,1440,5,2,5,9041,8688,100.07
4,1440,5,2,9,9422,8714,100.19
2,1440,15,2,7,9291,8751,100.14
2,1440,15,2,5,9489,8758,100.24
2,1440,10,2,7,9269,8763,100.83
2,1440,5,2,9,9122,8768,100.8
2,1440,5,2,7,9237,8781,100.97
5,1440,10,2,9,9729,8807,100.25
1,1440,10,2,7,9157,8869,100
2,1440,5,2,5,9507,8881,99.97
2,1440,15,2,9,9312,8906,100.1
3,1440,10,2,9,9527,8940,100.49
1,1440,5,2,7,9192,8953,100.21
1,1440,10,2,9,9188,8983,100.49
2,1440,10,2,9,9352,8986,100.87
1,1440,15,2,9,9404,9104,101.39
1,1440,10,2,5,9508,9154,100.28
1,1440,5,2,9,9337,9161,101.04
